name,price_dollar,ratings,reviews
"Lenovo IdeaPad 3 Laptop, 14.0"" FHD Display, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, Windows 11 S",259.99,4.0,170
"Lenovo Slim 7i - 2022 - Slim & Light Weight Laptop - Windows 11 Home - 16"" Display - 16GB Memory - 1TB Storage - Intel i7 12th Gen - Storm Grey",0,3.2,11
"Lenovo - Legion 5 - Gaming Laptop - AMD Ryzen 5 5600H - 8GB DDR4 RAM - 512GB NVMe TLC SSD - NVIDIA GeForce RTX 3060 Graphics - 15.6"" FHD 120 Hz - Windows 11 Home - Phantom Blue",0,4.7,19
"Lenovo IdeaPad 3 14 Laptop, Intel Core i3-1005G1, 4GB RAM, 128GB Storage, 14.0"" FHD Display, Windows 10 S",252.86,4.4,206
"Lenovo Legion Gaming Laptop, 15.6"" FHD 120Hz, AMD 6-Core Ryzen 5 5600H (Beat i9-10980HK), GeForce RTX 3050 Ti, 32GB RAM, 1TB PCIe SSD, USB-C, HDMI, RJ45, WiFi 6, Backlit, Basic HDMI 2.1 Cable, Win 11",0,0,0
"Lenovo - Legion 5 - Gaming Laptop - 15.6"" FHD - AMD Ryzen 5 5600H - 8GB DDR4 RAM - 512GB NVMe TLC SSD - NVIDIA GeForce RTX 3050 Ti Graphics - Windows 11 Home - Phantom Blue",719.00,4.8,18
"ASUS TUF F15 Gaming Laptop, 15.6"" 144Hz FHD IPS-Type Display, Intel Core i5-10300H Processor, GeForce GTX 1650, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, FX506LH-AS51",687.00,4.6,924
"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73",0,4.5,781
"ASUS VivoBook 15 F515 Laptop, 15.6"" FHD Display, Intel i3-1115G4 CPU, 8GB DDR4 RAM, 128GB SSD, Windows 11 Home in S Mode, Slate Grey, F515EA-AH34",329.00,4.4,304
"ASUS VivoBook Pro 16X OLED Slim Laptop, 16"" 4K 16:10 Display, AMD Ryzen 9 6900H CPU, NVIDIA GeForce RTX 3050 Ti, 32GB RAM, 1TB SSD, Windows 11 Home, 0°Black, M7600RE-XB99",0,4.4,67
"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",227.90,4.2,564
"ASUS Vivobook Go 12 L210 11.6” Ultra-Thin Laptop, 2022 Version, Intel Celeron N4020, 4GB RAM, 64GB eMMC, Win 11 Home in S Mode with One Year of Office 365 Personal, L210MA-DS02",149.98,4.0,239
"ASUS VivoBook 14 Laptop Computer, 14"" IPS FHD Display, Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB PCIe SSD, Fingerprint Reader, Windows 11 Home in S Mode, Slate Grey, F415EA-AS31",0,4.4,343
"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6” FHD Display, Intel Core i5-1135G7, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 10 Home, AI noise-cancellation, Dreamy White, S533EA-DH51-WH",696.52,4.5,321
"ASUS ZenBook Pro 15 OLED Laptop 15.6” FHD Touch Display, AMD Ryzen 9 5900HX CPU, NVIDIA GeForce RTX 3050 Ti gpu, 16GB RAM, 1TB PCIe SSD, Windows 11 Pro, Pine Grey, UM535QE-XH91T",0,4.0,53
"ASUS ProArt StudioBook Pro 16 OLED Laptop, 16” 3840x2400 OLED Display, Intel Core i9-12900H CPU, 32GB DDR4, 2TB PCIe SSD, Nvidia RTX A3000, Windows 11 Pro, W7600Z3A-XB96, Mineral Black",0,4.6,4
"ASUS Laptop L210 11.6” ultra thin, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC storage, Windows 10 Home in S mode with One Year of Office 365 Personal, L210MA-DB01",0,4.3,"7,918"
"ASUS VivoBook 15 OLED K513 Thin & Light Laptop, 15.6 OLED Display, Intel i5-1135G7 CPU, Intel Iris Xe Graphics, 12GB RAM, 512GB PCIe SSD, Fingerprint Reader, Windows 10 Home, Indie Black, K513EA-AB54",633.88,4.2,151
"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6” FHD Display, Intel Core i7-1165G7 CPU, 16GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, AI Noise-Cancellation, Indie Black, S533EA-DH74",0,0,0
"ASUS ZenBook Flip 13 OLED Ultra Slim 2-in-1 Laptop, 13.3” OLED FHD Touch Screen, Intel Evo Platform Core i7-1165G7, 16GB RAM, 1TB SSD, Windows 11 Home, AI Noise-Cancellation, Pine Grey, UX363EA-AH74T",0,4.4,123
"ASUS ROG Strix G15 (2022) Gaming Laptop, 15.6"" 300Hz IPS FHD Display, NVIDIA GeForce RTX 3050, AMD Ryzen 7 6800H, 16GB DDR5, 1TB SSD, RGB Keyboard, Windows 11 Home, G513RC-IS74","1,259.90",4.7,30
"ASUS VivoBook Flip 14 Thin and Light 2-in-1 Laptop, 14” FHD Touch, 11th Gen Intel Core i3-1115G4, 4GB RAM, 128GB SSD, Thunderbolt 4, Fingerprint, Windows 10 Home in S Mode, Indie Black, TP470EA-AS34T",389.99,4.4,790
"Microsoft Surface Laptop 3, 10th Gen Intel Core i5 (13.5-inch Touchscreen - 8GB Memory - 256GB SSD) - Blue (Renewed Premium)",0,4.2,165
"Microsoft Surface Laptop Go - 12.4"" Touchscreen - Intel Core i5 - 8GB Memory - 128GB SSD - Platinum",479.99,4.6,"1,276"
"Microsoft Surface Pro 7 – 12.3"" Touch-Screen - 10th Gen Intel Core i7 - 16GB Memory – 1TB SSD – Platinum","1,079.98",4.5,"1,216"
"Microsoft Surface Laptop 4 15-inch Touchscreen 256GB SSD 3.0GHz i7 with Windows 10 Pro (16GB RAM, Intel i7-1185G7, Wi-Fi, Latest Model) – Matte Black, 5IF-00001",0,4.6,9
"Microsoft Surface Laptop 4 13.5"" Touch Screen - Intel Core i5 - 8GB - 512GB with Windows 11 (Latest Model) - Ice Blue",0,4.7,183
"New Microsoft Surface Go 2 - 10.5"" Touch-Screen - Intel Pentium - 4GB Memory - 64GB - Wifi - Platinum (Latest Model)",0,4.5,762
"Microsoft Surface Laptop 3 – 13.5"" Touch-Screen – Intel Core i7 - 16GB Memory - 512GB Solid State Drive – Matte Black","1,479.99",4.5,520
Microsoft Surface Laptop 4 13.5” Touch-Screen – Intel Core i7 - 16GB - 512GB Solid State Drive - Matte Black,0,4.6,343
"Microsoft Surface Laptop 3 – 13.5"" Touch-Screen – Intel Core i5 - 8GB Memory - 256GB Solid State Drive – Matte Black",890.00,4.5,221
"Microsoft Surface Laptop Go 2 - 12.4"" Touchscreen - Intel Core i5 8GB Memory - 256 SSD - Platinum (Latest Model)",0,4.5,92
"Microsoft Surface Laptop 4 13.5"" Touch Screen - Intel Core i5 - 16GB - 512GB with Windows 11 (Latest Model) - Black",0,0,0
Excel 2023: How to Become a Master of Microsoft Excel in Less Than 7 Minutes a Day with the Most Updated Guide (Step-By-Step Tutorial) + Bonus: The 10 Most Essential Formulas Requested by any Company,18.06,4.9,179
"Microsoft Surface Laptop Studio - 14.4"" Touchscreen - Intel® Core™ i7 - 32GB Memory - 1TB SSD - Platinum",0,4.3,216
Microsoft Surface Laptop 4 15” Touch-Screen – AMD Ryzen 7 Surface Edition - 8GB - 512GB Solid State Drive - Platinum,"1,098.99",4.8,11
"Microsoft Surface Laptop Studio - 14.4"" Touchscreen - Intel® Core™ i5 - 16GB Memory - 256GB SSD - Platinum",0,4.5,80
"Microsoft Surface Laptop Go 12.4"" Touchscreen Laptop PC, Intel Quad-Core i5-1035G1, 4GB RAM, 64GB eMMC, Webcam, Win 10, Bluetooth, Online Class Ready - Platinum",0,4.4,125
"Microsoft Surface Laptop Go 12.4"" Touchscreen Laptop PC, Intel Quad-Core i5-1035G1, 4GB RAM, 64GB eMMC, Webcam, Win 10 Pro, Bluetooth, Online Class Ready - Platinum",0,4.3,41
"2022 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 8GB DDR4 RAM, 128GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Bluetooth, Win10 Home, Black",0,4.4,459
"MSI Stealth 15M Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11375H, NVIDIA GeForce RTX 3060, 16GB, 512GB SSD, Thunderbolt 4, WiFi 6, Win10, Carbon Gray (A11UEK-009)","1,399.00",4.3,(821)
"Dell 2022 Newest Inspiron 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1135G7, 16GB DDR4 RAM, 512GB PCIe SSD, SD Card Reader, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",0,3.9,62
"2022 Newest Dell Inspiron 3000 Laptop, 15.6 HD Display, Intel Celeron N4020 Processor, 8GB DDR4 RAM, 128GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Bluetooth, Win10 Home, Black",0,4.0,419
"Dell Inspiron 2-in-1 Touch Screen Laptop, 14"" FHD+ IPS, AMD 6-Core Ryzen 5 5625U (Beat i7-1265U), 16GB RAM, 512GB PCIe SSD, WiFi 6, Backlit, FP Reader, SPS HDMI Cable, Pebble Green, Win 11",0,0,0
"Dell Latitude 5000 5420 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) - 16 GB RAM - 256 GB SSD - Titan Gray Dull",679.00,0,0
"2022 Dell Inspiron i7620 7000 Series 2-in-1 Laptop 16"" FHD+ Touchscreen 12-Core 12th Intel i7-1260P Iris Xe Graphics 64GB DDR4 2TB NVMe SSD Thunderbolt 4 Wi-Fi 6E Backlit KB w/ FP Windows 11 Pro",0,0,0
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGKV-464","1,327.00",4.4,(129)
"MSI Pulse GL66 Gaming Laptop: 15.6"" 144Hz FHD 1080p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 512GB SSD, Win10, Black (11UGK-001)","1,388.00",4.6,"(3,314)"
"MSI Prestige 14 Evo Laptop: 14"" FHD Ultra-Thin Bezel Display, Intel Core i7-1195G7, Iris Xe, 16GB RAM, 512GB NVMe SSD, Thunderbolt 4, Win 10 Home, Carbon Gray (A11MO-052)",749.00,4.5,(77)
"2022 Newest Dell Inspiron 3000 Laptop, 15.6 HD Display, Intel Celeron Processor N4020, 16GB DDR4 RAM, 1TB Hard Disk Drive, Online Meeting Ready, Webcam, WiFi, HDMI, Win10 Pro, Black",0,4.0,132
"Dell Latitude 3000 3120 11.6"" Notebook - HD - 1366 x 768 - Intel Pentium N6000 Quad-core (4 Core) 1.10 GHz - 4 GB Total RAM - 4 GB On-Board Memory - 128 GB SSD - Titan Gray",0,0,0
Dell 2022 Inspiron I5420 14 inch 2.2K Anti-Glare Laptop 12th Gen Intel 10-Core 1255U NVIDIA GeForce MX570 2GB GDDR6 64GB DDR4 2TB NVMe SSD HDMI WiFi AX BT USB-C w/DP Backlit KB Windows 11 Pro,0,4.8,4
"Dell XPS 13 Plus 9320 13.4"" Touchscreen Notebook - 3.5K - 3456 x 2160 - Intel Core i7 12th Gen i7-1260P Dodeca-core (12 Core) - Intel Evo Platform - 32 GB Total RAM - 32 GB On-Board Memory - 1 TB SSD","2,737.83",2.0,1
"MSI Katana GF66 15.6"" 144Hz FHD Gaming Laptop: Intel Core i7-12650H RTX 3050 Ti 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, High-ResoluTion Audio, Cooler Boost 5, Win11 Home: Black 12UD-436","1,039.99",4.5,"(1,527)"
"MSI Latest GE76 Raider Gaming Laptop | 17.3"" 144 Hz FHD Display | Intel 14-Core i9-12900H | 64GB DDR5 2TB SSD | NVIDIA RTX3060 | WiFi 6 | HDMI | RJ45 | Thunberbolt4 | Backlit KB RGB | DTS | Win11 Pro","2,449.99",5.0,(1)
MSI WE76 11UM FHD Mobile Workstation Intel Core i9-11980HK Quadro RTX A5000 64GB RAM 1TB NVME SSD WIN10 Pro TPM2.0 Fingerprint 3 Year onsite Warranty,0,4.5,(2)
"MSI Raider GE77Hx 17.3"" QHD 240Hz Gaming Laptop: Intel Core i7-12800HX RTX 3070 Ti 16GB DDR5 1TB NVMe SSD, Thunderbolt 4, USB-Type C, Cooler Boost 5, Win11 Pro: Dark Grey 12UHS-004","1,999.00",5.0,(3)
Dell Latitude 5480 14-inch Business Laptop Notebook PC Intel i5-6300U 2.4GHz 8GB DDR4 500GB HDD Backlit Keyboard Windows 10 Pro (Renewed),182.73,3.8,69
"Dell Latitude 5000 Series 5520 Business Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1145G7 vPro, 16GB RAM, 512GB SSD, IR Camera, NFC, Backlit Keyboard, Wi-Fi 6, Windows 11 Pro",0,4.5,6
"Dell Latitude 7420 14"" Intel Core i5-1145G7 256GB PCIe SSD 16GB FHD Touch (1920X1080) 300 NIT IR Cam Win 11 Pro (Certified Refurb)",0,5.0,1
"Dell Inspiron 3583 15â‚¬ Laptop Intel Celeron â‚¬""œ 128GB SSD â‚¬""œ 4GB DDR4 â‚¬""œ 1.6GHz - UHD Graphics 610 - Windows 10 Home - Inspiron 15 3000 Series - New",299.00,4.3,"1,445"
"MSI Summit E16 FLIP EVO 16"" QHD+ Touch Ultra Thin 2-in-1 Professional Laptop Intel Core i7-1195G7 IRIS XE 16GB LPDDR4X 512GB NVMe SSD Win10Pro (A11MT-021)","1,192.49",5.0,(1)
"MSI Vector GP76 17.3"" QHD 240Hz Gaming Laptop Intel Core i9-12900H RTX3080TI 64GB 2TB NVMe SSD Win11 - Black (12UHSO-893)","2,699.00",0,0
"MSI Creator 17 Professional Laptop: 17.3"" UHD 120Hz 100% AdobeRGB Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3060, 16GB RAM, 512GB NVME SSD, Thunderbolt 4, Win10, Core Black (B11UE-471)","2,064.78",4.0,(29)
"Acer Aspire 5 A515-45-R74Z Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 5 5500U Hexa-Core Mobile Processor | AMD Radeon Graphics | 8GB DDR4 | 256GB NVMe SSD | WiFi 6 | Backlit KB | Windows 11 Home",493.00,4.5,"39,375"
"Dell XPS 17 9720 Laptop17.0-inch UHD+ (3840 x 2400) Touchscreen Display, Intel Core i9-12900HK, 32GB Memory, 1TB SSD, NVIDIA GeForce RTX 3060, Intel Killer Wi-Fi 6, Windows 11 Pro - Silver","3,195.99",4.0,35
"Dell Vostro 5620 16"" FHD Business Laptop, 12th Gen Intel Core i7-1260P, Windows 11 Pro, 32GB RAM, 1TB SSD, HDMI, RJ-45, Type-C, Intel Iris Xe Graphics, Backlit Keyboard, Long Battery Life, Titan Gray","1,254.40",0,0
"MSI 2022 GE76 Raider 17.3"" 144 Hz FHD Gaming Laptop 14-Core Intel i7-12700H 32GB DDR5 1TB NVMe SSD NVIDIA GeForce RTX3060 6GB WiFi AX HDMI RJ45 Thunberbolt4 Backlit DTS RGB Windows 11 Pro w/ RE USB",0,4.8,(7)
"MSI Vector GP76 17.3"" FHD 360Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 Ti 32GB 1TB NVMe SSD, Type-C USB 3.2 Gen2 w/ DP 1.4, Wi-Fi 6E, Cooler Boost 5, Win11 Home: Core Black 12UGS-298",0,4.0,(2)
"MSI Bravo 15 15.6"" 144Hz Gaming Laptop: AMD Ryzen R5-5600H, RX 5500M, 16GB, 512GB NVMe SSD, Win11 (B5DD-243)",0,4.5,(78)
"MSI Prestige 14 EVO 14"" FHD Ultra Thin and Light Professional Laptop Intel Core i7-1185G7 Intel Iris Xe 32GB DDR4 1TB NVMe SSD Win10Home - Gray (A11MO-217)",709.29,4.0,(1)
"MSI Stealth GS77 17.3"" UHD 4K 120Hz Ultra Thin & Light Gaming Laptop: Intel Core i9-12900H RTX 3080 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, CNC Aluminum, Win11 Pro: Core Black 12UHS-040",0,4.2,(20)
"Acer 2022 15inch HD IPS Chromebook, Intel Dual-Core Celeron Processor Up to 2.55GHz, 4GB RAM, 32GB Storage, Super-Fast WiFi Up to 1300 Mbps, Chrome OS-(Renewed) (Dale Silver)",160.98,4.4,731
"Acer Chromebook 311 Laptop | AMD A-Series Dual-Core A4-9120C | 11.6"" HD Display | AMD Radeon R4 Graphics | 4GB DDR4 | 64GB eMMC | 802.11ac WiFi 5 | Bluetooth 4.2 | Chrome OS | CB311-10H-42LY",0,4.3,519
"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode.",0,4.3,"4,008"
"Acer 2022 Newest Aspire 5 Slim 15.6"" FHD Laptop, 11th Gen Intel Core i3-1115G4(Up to 4.1GHz,Beat i5-7200U), 8GB DDR4 RAM, 128GB SSD, WiFi 6, USB-C, Webcam, HDMI, Windows 11S+JVQ MP",379.00,4.6,80
"Acer Nitro 5 AN515-57-79TD Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard",788.00,4.5,"5,206"
"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",0,4.5,273
"Acer Aspire 5 A517-52-75N6 Laptop | 17.3"" Full HD IPS Display | 11th Gen Intel Core i7-1165G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB SSD | WiFi 6 | Fingerprint Reader | BL Keyboard | Windows 11",669.98,4.5,22
"Acer Predator Triton 500 SE Gaming/Creator Laptop | 12th Gen Intel i9-12900H | GeForce RTX 3080 Ti | 16"" WQXGA 240Hz G-SYNC Display | 32GB LPDDR5 | 1TB Gen 4x4 SSD | Killer Wi-Fi 6E | PT516-52s-99EL","2,499.49",4.5,449
"Acer Swift X SFX14-41G-R1S6 Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 7 5800U | NVIDIA RTX 3050Ti GPU | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Backlit KB | Amazon Alexa | Windows 10 Home",780.00,4.4,656
"Acer Predator Helios 300 PH315-54-760S Gaming Laptop | Intel i7-11800H | NVIDIA GeForce RTX 3060 GPU | 15.6"" FHD 144Hz 3ms IPS Display | 16GB DDR4 | 512GB SSD | Killer WiFi 6 | RGB Keyboard","1,193.93",4.6,"3,601"
"Acer 2022 Nitro 5 Gaming Laptop, 17.3"" FHD IPS 144Hz, 12th Gen 12-Core i5-12500H, GeForce RTX 3050, 16GB RAM, 512GB PCIe SSD, Thunderbolt 4, HDMI, RJ45, WiFi 6, Backlit, SPS HDMI 2.1 Cable, Win 11",0,5.0,5
"Acer 2022 Aspire 3 A315 15.6"" FHD IPS Display Slim Laptop 12th Gen Intel 10-Core i5-1235U 8GB RAM 512GB(256x2) NVMe SSD Iris Xe Graphics WiFi AC BT HDMI Webcam Silver Windows 10 Pro w/ RE 32GB USB",0,4.3,14
"Acer Aspire 5 A517-52-58UL Laptop | 17.3"" Full HD IPS Display | 11th Gen Intel Core i5-1135G7 | Intel Iris Xe Graphics | 8GB DDR4 | 512GB SSD | WiFi 6 | Fingerprint Reader | BL Keyboard | Windows 11",609.00,4.3,15
"Acer Swift 3 Intel Evo Thin & Light Laptop 14.0"" Full HD IPS Intel Core i7-1165G7 Intel Iris Xe Graphics 8GB LPDDR4X 512GB SSD Wi-Fi 6 Fingerprint Reader Back-lit KB SF314-511-7412",0,4.3,238
"Acer Aspire 5 A515-56-50RS, 15.6"" Full HD IPS Display, 11th Gen Intel Core i5-1135G7, Intel Iris Xe Graphics, 8GB DDR4, 256GB NVMe SSD, WiFi 6, Fingerprint Reader, Backlit Keyboard",584.95,4.2,432
"SAMSUNG 15.6” Galaxy Book2 Pro Laptop Computer, i7 / 16GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite","1,549.99",4.3,(206)
"HP 2022 15.6"" HD BrightView Laptop, Intel Pentium Silver N5030 Processor, 8GB RAM, 256GB PCIe SSD, Intel HD Graphics 605, 720p HD Webcam, Stereo Speakers, Silver, Windows 11, 32GB USB Card",389.00,4.3,(138)
"SAMSUNG Chromebook Plus V2, 2-in-1, 4GB RAM, 32GB eMMC, 13MP Camera, Chrome OS, 12.2"", 16:10 Aspect Ratio, Light Titan (XE520QAB-K01US)",275.00,4.5,"(1,013)"
"Samsung Chromebook 4 (2021 Model) 11.6"" Intel UHD Graphics 600/ Celeron Processor N4020, 4GB, 32GB, Wi-Fi - (XE310XBA-KA1US)",129.80,4.5,"(1,977)"
"Samsung Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US",0,4.4,"(2,337)"
"SAMSUNG 15.6” Galaxy Book2 Pro with Intel ARC Laptop Computer, i7 / 32GB / 1TB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite",0,4.1,(16)
"Samsung Galaxy Chromebook 2 XE530QDA-KA1US 13.3"" Touchscreen 2 in 1 Chromebook - Full HD - 1920 x 1080 - Intel Core i3 (10th Gen) i3-10110U 2.10 GHz - 8 GB RAM - Fiesta Red",0,4.4,(189)
"HP 15.6"" HD Intel 10th Gen i3-1005G1 3.4GHz 8GB RAM 256GB SSD Win 10 Laptop",329.98,4.4,(600)
"HP 2023 15.6"" HD Laptop, Thin and Light, Intel Pentium Silver N5030(4 Cores, Up to 3.1GHz), 8GB RAM, 256GB SSD, Fullsize Keyboard, Webcam, USB-A&C, WiFi 5, Win 11, w/ GM Accessories",369.00,4.5,(4)
HP 2020 Flagship 14 Chromebook Laptop Computer 14-inch HD SVA Anti-Glare Display Intel Celeron N5000 Processor 4GB DDR4 64GB eMMC WiFi Webcam Chrome OS (Renewed),157.99,4.4,"(2,336)"
"2022 HP Pavilion 15.6"" FHD Touchscreen Laptop 12th Gen 10-Core Intel i7-1255U 64GB DDR4 2TB NVMe SSD NVIDIA GeForce MX570 HDMI USB-C WiFi-6 Bluetooth Backlit Keyboard Windows 10 Pro w/ 32GB USB",0,4.0,(1)
"2022 HP Victus 15.6"" FHD IPS 144 Hz Gaming Laptop 12th Intel i7-12650H 10-Core Nvidia RTX 3050 Ti 4GB 32GB DDR4 1TB NVMe SSD WiFi 6 RJ-45 Backlit Keyboard Windows 11 Pro w/ RATZK 32GB USB",0,4.6,(3)
HP 2022 Envy 13.3'' FHD IPS Touchscreen Laptop Evo Platform 4-Core Intel i5-1135G7 Iris Xe Graphics 16GB DDR4 512GB NVMe SSD WiFi AX HDMI Thunderbolt 4 Backlit KB Fingerpint Windows 11 Pro w/USB,0,3.9,(449)
"SAMSUNG Galaxy Book Pro Windows 11 Intel Evo Platform Laptop Computer 15.6"" AMOLED Screen 11th Gen Intel Core i5 Processor 8GB Memory 512GB SSD Long-Lasting Battery, Mystic Silver",0,4.3,(21)
"Samsung Galaxy Chromebook Go-Laptop Computer Lightweight Slim Durable Design 12-Hour-Battery Wi-Fi 6 Share Files-with-Phone, Black,Silver,32GB",212.97,4.2,(187)
"SAMSUNG 15.6” Galaxy Book2 Pro Laptop Computer, i5 / 8GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite",0,4.2,(13)
"SAMSUNG Electronics Galaxy Book Odyssey Intel Laptop Computer 15.6"" LED Screen Intel Core i7 Processor 16GB Memory 512GB SSD Long-Lasting Battery, Mystic Black","1,139.99",4.3,(30)
"SAMSUNG 13.3” Galaxy Book2 Pro Laptop Computer, i5 / 8GB / 256GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite",0,4.2,(12)
"HP Latest Pavilion 15 Laptop | 15.6"" IPS FHD Touchscreen | Intel 10-Core i7-1255U | NVIDIA GeForce MX550 | 32GB DDR4 2TB SSD | WiFi 6 | BT | USB-C | HDMI | Webcam | Backlit KB | Windows 10 Home",0,0,0
"2022 HP Envy Laptop 17.3"" FHD IPS Touchscreen 10-Core 12th Intel i7-1255U Iris Xe Graphics 24GB DDR4 1TB SSD Thunderbolt 4 Wi-Fi 6E Backlit Keyboard w/ FP Reader Windows 11 Pro w/ RATZK 32GB USB",0,5.0,(1)
"HP Chromebook 11-inch Laptop - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS™ - (11a-na0030nr, 2020 model, Indigo Blue)",154.99,4.5,(595)
"HP Newest 2022 15.6in FHD Business Laptop, AMD Ryzen 5 5500U 6 core CPU (Beat i7-1160G7, up to 4GHz), 16GB RAM, 512GB PCIe NVMe SSD, AMD Radeon Graphics, WiFi, Windows 11, Blue + Generic Accessories",501.58,4.2,(340)
