Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Series,Color,Resolution,Weight,USB,Battery,Graphics,Disk_size,Card_desc,Price
"Alienware m15 15.6"" Gaming Notebook i7-8750H 16GB RAM 1TB HHD 8GB SSHD Black",Alienware,17.3 Inches,Core i7 8750H,16 GB,Windows 10 Home,5.0,17 R5,Black,nan,nan,nan,nan,NVIDIA GeForce GTX 1070,1 TB,Dedicated,"$1,799.95"
"EXCaliberPC 2022 MSI Pulse GL76 12UGK-256 (i7-12700H, 16GB RAM, 512GB NVMe SSD, RTX 3070 8GB, 17.3"" 144Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,17.3 Inches,Intel Core i7,16 GB,Windows 11,4.1,Pulse GL76 12UGK,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,512 GB,Dedicated,"$1,699.00"
"EXCaliberPC 2022 MSI Creator Z17 A12UGST-049 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3070Ti 8GB, 17"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,17 Inches,Core i7,32 GB,Windows 11 Pro,,Creator Z17 A12UGST,32GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3070 Ti,nan,Dedicated,"$3,049.00"
"EXCaliberPC 2022 MSI Raider GE67Hx 12UGS-013 (i7-12800HX, 16GB RAM, 1TB NVMe SSD, RTX 3070Ti 8GB, 15.6"" QHD 240Hz, Windows 11 Pro) Gaming Laptop",EXCaliberPC,15.6 Inches,Core i7,16 GB,Windows 11 Pro,,Raider GE67Hx 12UGS,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3070 Ti,nan,Dedicated,"$1,899.00"
"EXCaliberPC 2022 MSI Summit E13FlipEvo A12MT-013 (i7-1260P, 32GB RAM, 1TB NVMe SSD, Intel Iris Xe, 13.4"" FHD+ Touch, Windows 11 Pro) Professional Laptop",EXCaliberPC,13.4 Inches,Core i7,32 GB,Windows 11 Pro,,Summit E13FlipEvo A12MT,32GB RAM,nan,nan,nan,nan,Intel Iris Xe Graphics,nan,Integrated,"$1,549.00"
"EXCaliberPC 2022 MSI Raider GE76 12UH-655 Pro Extreme (i9-12900HK, 64GB RAM, 3TB NVMe SSD, RTX 3080 8GB, 17.3"" 144Hz FHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3 Inches,Intel Core i9,64 GB,Windows 11 Pro,5.0,Raider GE76 12UH,64GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080,3 TB,Dedicated,"$4,345.00"
"EXCaliberPC 2022 MSI Creator Z16P B12UHT-041 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3080 8GB, 16"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16 Inches,Intel Core i7,32 GB,Windows 11 Pro,,Creator Z16P B12UHT,32GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080,nan,Dedicated,"$3,049.00"
"EXCaliberPC 2022 ASUS ROG Strix Scar 15 G533ZM-ES93 (i9-12900H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 15.6"" FHD 300Hz 3ms, Windows 11) Gaming Notebook",EXCaliberPC,15.6 Inches,Intel Core i9,16 GB,Windows 11,5.0,G533ZM-ES93,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,512 GB,Dedicated,"$1,799.00"
"2022 MSI Titan GT77 12UGS-009 (i7-12800HX, 32GB RAM, 4TB Platinum P41 NVMe SSD, RTX 3070Ti 8GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3 Inches,Core i7,32 GB,Windows 11 Pro,5.0,Titan GT77 12UGS,32GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3070 Ti,4 TB,Dedicated,"$3,295.00"
"GIGABYTE A5 X1 - 15.6"" FHD IPS Anti-Glare 240Hz - AMD Ryzen™ 9 5900HX - NVIDIA GeForce RTX 3070 Laptop GPU 8 GB GDDR6 - 16 GB Memory - 512 GB PCIe SSD - Win 11 Home - Gaming Laptop (A5 X1-CUS2130SB)",GIGABYTE,15.6,AMD Ryzen 9 5900X,16 GB,Windows 11 Home,4.1,A5 X1-CUS2130SB,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,512 GB,Dedicated,"$1,399.00"
"Panasonic Toughbook CF-53SJCZYLM Laptop (Windows 7, Intel Core i5-3439Y, 14"" LED-lit Screen, Storage: 320 GB, RAM: 4 GB) Silver",Panasonic,14 Inches,Core i5,4 GB,Windows 7,3.1,Toughbook,Silver,nan,nan,nan,nan,Intel HD Graphics 4000,320 GB,Integrated,"$1,949.99"
"MSI GF63 Thin Gaming Laptop, 15.6"" FHD IPS Display, 11th Gen 6-Core i5-11400H, GeForce GTX 1650, 16GB RAM, 1TB PCIe SSD+1TB HDD, USB-C, HDMI, RJ45, WiFi 6, Backlit, SPS HDMI Cable, Win 11",MSI,15.6 Inches,Core i5,16 GB,Windows 11,5.0,nan,Black,nan,nan,nan,nan,NVIDIA GeForce GTX 1650,1 TB,Dedicated,$689.99
"EXCaliberPC 2021 MSI WE76 11UK-460 (i7-11800H, 32GB RAM, 1TB NVMe SSD, Quadro RTX A3000 6GB, 17.3"" 144Hz FHD, Windows 10 Pro) Mobile Workstation Laptop",EXCaliberPC,17.3 Inches,Core i7,32 GB,Windows 10 Pro,5.0,WE76 11UK,32GB RAM,nan,nan,nan,nan,NVIDIA Quadro RTX A3000,nan,Dedicated,"$2,499.00"
"Panasonic Toughbook CF-54 MK2 Intel i7, 6th Gen, 14"" Non-Touch, 16GB, 512GB SSD, Backlit Keyboard, Windows 10 Pro (Renewed)",Toughbook,14 Inches,Core i7 6600U,16 GB,Windows 10 Pro,,Panasonic Toughbook,nan,nan,nan,nan,nan,Intel,1 TB,Integrated,nan
"EXCaliberPC 2022 ASUS ROG Zephyrus Duo 16 GX650RX-XS97 (AMD Ryzen 9 6900HX, 32GB RAM, 2TB NVMe SSD, RTX 3080Ti 16GB, 16"" QHD+ 165Hz, Windows 11 Pro) Gaming Laptop",EXCaliberPC,16 Inches,Ryzen 9,32 GB,Windows 11 Pro,5.0,ROG Zephyrus Duo 16,32GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080 Ti,nan,Dedicated,nan
"EXCaliberPC 2022 MSI Raider GE66 12UHS-236 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3080Ti 16GB, 15.6"" QHD 240Hz, Windows 11) Gaming Laptop",EXCaliberPC,15.6 Inches,Core i7,32 GB,Windows 11,,Raider GE66 12UHS,32GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080 Ti,nan,Dedicated,"$2,649.00"
"EXCaliberPC 2022 MSI Stealth GS77 12UHS-040 (i9-12900H, 32GB RAM, 1TB NVMe SSD, RTX 3080Ti 16GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3 Inches,Intel Core i9,32 GB,Windows 11 Pro,5.0,Stealth GS77 12UHS,32GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080 Ti,nan,Dedicated,"$3,199.00"
"2022 MSI Raider GE66 12UHS-235 Pro Extreme (i9-12900HK, 64GB RAM, 4TB NVMe SSD, RTX 3080Ti 16GB, 15.6"" 4K UHD, Windows 11) Gaming Laptop",EXCaliberPC,15.6 Inches,Intel Core i9,64 GB,Windows 11,5.0,Raider GE66 12UHS,64GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080 Ti,4 TB,Dedicated,"$4,595.00"
"MSI GS76 Stealth 17.3"" FHD 360Hz 3ms Ultra Thin and Light Gaming Laptop Intel Core i9-11900H RTX3070 32GB 1TB NVMe SSD Win11 VR Ready - Black (11UG-653)",MSI,17.3 Inches,Core i9,32 GB,Windows 11 Home,5.0,GS76 Stealth 11UG-653,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,1 TB,Dedicated,"$1,899.00"
"2022 MSI Creator Z17 A12UHT-048 Pro Extreme (i9-12900H, 64GB RAM, 4TB NVMe SSD, RTX 3080 8GB, 17"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,17 Inches,Intel Core i9,64 GB,Windows 11 Pro,,Creator Z17 A12UHT,64GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080,4 TB,Dedicated,"$5,195.00"
"EXCaliberPC 2022 MSI Pulse GL66 12UGOK-825 (i9-12900H, 16GB RAM, 1TB NVMe SSD, RTX 3070 8GB, 15.6"" 165Hz QHD, Windows 11) Gaming Laptop",EXCaliberPC,15.6 Inches,Intel Core i9,16 GB,Windows 11 Home,,Pulse GL66 12UGOK,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3070,nan,Dedicated,"$1,699.00"
"2022 MSI CreatorPro M16 A12UJS-458 (i7-12700H, 64GB RAM, 1TB NVMe SSD, Quadro RTX A2000 8GB, 16"" QHD+, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16 Inches,Core i7,64 GB,Windows 11 Pro,,CreatorPro M16 A12UJS,64GB RAM,nan,nan,nan,nan,NVIDIA Quadro RTX A2000,1 TB,Dedicated,"$2,319.00"
"2021 MSI GF63 Thin Gaming 15.6"" FHD Laptop Computer, Intel Core i5-10300H (Beats i7-9750H), 32GB RAM, 1TB PCIe SSD, Backlit Keyboard, GeForce GTX 1650 MaxQ, HD Webcam, Win 10, Black, 32GB USB Card",MSI,15.6 Inches,Corei5-10300H,32 GB,Windows 10 Home,4.2,MSI GF63 Thin Gaming,Black,nan,nan,nan,nan,NVIDIA GeForce GTX 1650 Max-Q,1 TB,Dedicated,$799.00
"MSI Raider GE66 15.6"" QHD 240Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, Cooler Boost 5, Win11 Home: Titanium Blue 12UGS-238",MSI,15.6 Inches,Core i7,32 GB,Windows 11 Home,4.8,Raider GE66 12UGS-238,Titanium Blue,nan,nan,nan,nan,nan,1 TB,Dedicated,"$1,899.00"
"Apple 2019 MacBook Pro (16-inch, 16GB RAM, 512GB Storage, 2.6GHz Intel Core i7) - Space Gray",Apple,16 Inches,Core i7-3720QM,16 GB,Mac OS,4.7,MacBook Pro,Space Gray,nan,nan,nan,nan,Intel UHD Graphics 630,nan,Dedicated,nan
"Apple MacBook Pro 15in Laptop Intel Quad Core i7 2.7GHz (ME665LL/A) Retina Display, 16GB Memory, 512GB Solid State Drive, (Renewed)",Apple,15 Inches,Core i7,16 GB,Mac OS,3.9,MacBook Pro,Silver,nan,nan,nan,nan,Intel HD Graphics 4000,512 GB,Integrated,nan
"Apple MacBook Pro 15"" Retina Core i7 2.6GHz MLH32LL/A with Touch Bar, 16GB Memory, 256GB Solid State Drive (Renewed)",Apple,15.4 Inches,Core i7,16 GB,Mac OS,3.9,MacBook Pro,Space Gray,nan,nan,nan,nan,nan,256 GB,Integrated,nan
"Ficihp 13.3"" Laptop Screen Extender for M1 MacBook One Cable Plug&Play, Cooling System Triple Portable Monitor for Laptop with USB C HDMI, Monitor Attachment for Laptop Frame 13-16 inch Mac/Android",Ficihp,13.5 Inches,nan,nan,nan,1.9,nan,Black-Triple,nan,nan,nan,nan,nan,nan,nan,$599.99
"Packard Bell CloudBook 14.1 inch Laptop, Full HD Display, Windows 11 Home S Mode, Intel Celeron N4020 Quad Core, 4GB RAM, 128GB Memory SSD, WiFi Connectable, HD Camera, Thin & Light, Blue",Packard Bell,14 Inches,Celeron N4020,4 GB,Windows 11,3.8,"CloudBook 14""",Black,nan,nan,nan,nan,nan,128 GB,Integrated,$229.99
"Mid-2014 Apple MacBook Pro with 2.5GHz Intel Core i7 (15-inch, 16GB RAM, 512GB SSD Storage) (Renewed)",Apple,15 Inches,Core i7,16 GB,Mac OS,4.1,MacBook Pro,Aluminium,nan,nan,nan,nan,nan,512 GB,Dedicated,nan
"B BELK Compatible with MacBook Air 13 inch Case M1, MacBook Air Case 2021 2020 2019 2018 Model A2337 A2179 A1932 with Touch ID, Clear Plastic Laptop Hard Shell + 2 Keyboard Covers + Screen Protector",B BELK,nan,nan,nan,nan,4.5,nan,A Clear,nan,nan,nan,nan,nan,nan,nan,$12.86
"MSI Latest Pulse GL76 Laptop | 17.3"" 360Hz IPS FHD Display | Intel 14-Core i7-12700H | 64GB DDR4 2TB SSD | NVIDIA RTX 3070 8GB | WiFi6 | RJ45 | HDMI | RGB Backlit KB | Hi-Res Audio | Windows 11 Pro",MSI,17.3 Inches,Core i7 Family,64 GB,Windows 11 Pro,,GL76 12UGK,Core Black,nan,nan,nan,nan,nan,2 TB,Dedicated,nan
"MSI Katana GF76 17.3"" 144Hz FHD Gaming Laptop Intel Core i5-11400H RTX3050 8GB 512GBNVMe SSD Win11 (11UC-492) ,Black",MSI,17.3 Inches,Core i5,8 GB,Windows 11,,Katana GF76 11UC-492,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3050,nan,Dedicated,$978.75
"MSI Prestige 14 14"" FHD Ultra Thin and Light Professional Laptop: Intel Core i5-1240P GTX 1650 16GB LPDDR4X 512GB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Pro: Carbon Gray A12SC-008",MSI,14 Inches,Core i5,16 GB,Microsoft Windows 11 Professional,,Prestige 14 A12SC-008,Carbon Gray,nan,nan,nan,nan,NVIDIA GeForce GTX 1650,512 GB,Dedicated,nan
"MSI WF76 Workstation Laptop: 17.3"" 144Hz FHD 1080p, Intel Core i7-11800H, NVIDIA Quadro A2000 , 16GB, 1TB SSD, Type C, WiFi 6, TPM2.0 Fingerprint, Win10 PRO, Black (11UJ-299)",MSI,17.3 Inches,Core i7 Family,16 GB,Windows 10 Pro,,WF76 11UJ-299,Black,nan,nan,nan,nan,NVIDIA Quadro A2000,1 TB,Dedicated,"$1,658.52"
"MSI 2022 GF65 Thin 15.6"" FHD IPS 144Hz Gaming Laptop Intel 8-Core i7-10750H NVIDIA GeForce RTX 3060 6GB GDDR6 32GB DDR4 1TB NVMe SSD HDMI USB-C WiFi AX RJ-45 Backlit Windows 11 Home w/ RE 32GB USB",MSI,15.6 Inches,Core i7 Family,32 GB,Windows 11 Home,4.5,GF65-10UE,Black,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,1 TB,Dedicated,nan
"EXCaliberPC 2022 MSI Prestige 14 A12SC-010 (i5-1240P, 16GB RAM, 512GB NVMe SSD, GTX 1650 4GB, 14"" FHD, Windows 11) Professional Laptop - Blue Stone",EXCaliberPC,14 Inches,Intel Core i5,16 GB,Windows 11,3.0,Prestige 14 A12SC,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce GTX 1650,512 GB,Dedicated,"$1,099.00"
"EXCaliberPC 2022 MSI Creator Z16 A12UET-031US (i7-12700H, 16GB RAM, 1TB NVMe SSD, RTX 3060 6GB, 16"" QHD+ 120Hz, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16 Inches,Intel Core i7,16 GB,Windows 11 Pro,,Creator Z16 A12UET,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,1 TB,Dedicated,"$2,399.00"
"EXCaliberPC 2022 ASUS Zenbook Pro Duo 15 OLED UX582ZM-XS96T (i9-12900H, 32GB RAM, 1TB NVMe SSD, RTX 3060 6GB, 15.6"" FHD, Windows 11 Pro) Touchscreen Laptop - Celestial Blue",EXCaliberPC,15.6 Inches,Intel Core i9,32 GB,Windows 11 Pro,,Zenbook Pro Duo 15 OLED UX582,32GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,nan,Dedicated,"$2,799.00"
"EXCaliberPC 2022 MSI Vector GP76 12UHSO-877 (i7-12650H, 16GB RAM, 1TB NVMe SSD, RTX 3080Ti 16GB, 17.3"" FHD 360Hz 3ms, Windows 11) Gaming Laptop",EXCaliberPC,17.3 Inches,Core i7,16 GB,Windows 11 Home,,Vector GP76 12UHSO,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080 Ti,nan,Dedicated,"$2,399.00"
"EXCaliberPC 2022 MSI Creator Z16P B12UHST-040 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3080Ti 16GB, 16"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16 Inches,Core i7,32 GB,Windows 11 Pro,,Creator Z16P B12UHST,32GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3080 Ti,nan,Dedicated,"$3,599.00"
"EXCaliberPC 2022 MSI Pulse GL76 12UEK-052 (i7-12700H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 17.3"" 144Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,17.3 Inches,Core i7,16 GB,Windows 11,,Pulse GL76 12UEK,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,512 GB,Dedicated,"$1,449.00"
"EXCaliberPC 2022 MSI Prestige 14 A12UC-006 (i7-1260P, 16GB RAM, 512GB NVMe SSD, RTX 3050 4GB, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14 Inches,Core i7,16 GB,Windows 11 Pro,3.0,Prestige 14 A12UC,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3050,512 GB,Dedicated,"$1,199.00"
"EXCaliberPC 2022 MSI Prestige 14Evo A12M-012 (i5-1240P, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14 Inches,Core i5,16 GB,Windows 11 Pro,,Prestige 14Evo A12M,16GB RAM,nan,nan,nan,nan,Intel Iris Xe Graphics,512 GB,Integrated,"$1,099.00"
"EXCaliberPC 2022 MSI Delta 15 A5EFK-097 (AMD Ryzen 7 5800H, 16GB RAM, 1TB NVMe SSD, Radeon RX6700M, 15.6"" Full HD, Windows 11) Gaming Laptop",EXCaliberPC,15.6 Inches,Ryzen 7,16 GB,Windows 11 Home,,Delta 15 A5EFK,16GB RAM,nan,nan,nan,nan,AMD Radeon RX6700M,nan,Dedicated,"$1,499.00"
"Apple MacBook Air MF068LL/A - 13.3in Laptop (Intel Core i7 1.7 GHz, 8GB RAM, 256GB SSD (Renewed)",Apple,13.3 Inches,nan,8 GB,nan,4.1,nan,nan,720p,2.96 Pounds,2,nan,Intel HD Graphics 5000,256 GB,Integrated,nan
"2022 MSI Summit E16Flip A12UCT-008 (i7-1260P, 16GB RAM, 1TB NVMe SSD, RTX 3050 4GB, 16"" QHD+ Touch, Windows 11 Pro) Professional Laptop",EXCaliberPC,16 Inches,Core i7,16 GB,Windows 11 Pro,,Summit E16Flip A12UCT,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 3050,1 TB,Dedicated,"$1,619.00"
"GS66 Stealth Pro Extreme by_MSI Gaming Laptop (i7-10875H, 64GB RAM, 1TB NVMe SSD, RTX2070 Super 8GB, 15.6"" Full HD 300Hz 3ms, Windows 10 Pro) VR Ready Gamer Notebook Computer",EXCaliberPC,15.6 Inches,Core i7,64 GB,Windows 10 Pro,,GS66 Stealth 10SFS,64GB RAM,nan,nan,nan,nan,NVIDIA GeForce RTX 2070,1 TB,Dedicated,"$2,899.00"
"2022 MSI Summit E14Evo A12M-025 (i7-1260P, 16GB RAM, 1TB NVMe SSD, Intel Iris Xe, 14"" FHD+, Windows 11 Pro) Professional Laptop",EXCaliberPC,14 Inches,Core i7,16 GB,Windows 11 Pro,,Summit E14 Evo,16GB RAM,nan,nan,nan,nan,Intel Iris Xe Graphics,1 TB,Integrated,"$1,299.00"
"EXCaliberPC 2021 XPG Xenia 14 Gaming Laptop (i5-1135G7, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" WUXGA, Windows 10) XENIA14I5G11GXELX-BKCUS",EXCaliberPC,14 Inches,Core i5,16 GB,Windows 10,,XPG Xenia 14,16GB RAM,nan,nan,nan,nan,‎Intel Iris Xe,512 GB,Integrated,$854.21
"2022 MSI Summit E14Flip A12MT-016 Enthusiast (i7-1260P, 16GB RAM, 1TB NVMe SSD, Intel Iris Xe, 14"" QHD+ Touch, Windows 11 Pro) Professional Laptop",EXCaliberPC,14 Inches,Intel Core i7,16 GB,Windows 11 Pro,,Summit E14 Flip Evo,16GB RAM,nan,nan,nan,nan,Intel Iris Xe Graphics,1 TB,Integrated,"$1,579.00"
"EXCaliberPC MSI Summit E14 A11SCS-088 (i7-1185G7, 16GB RAM, 1TB NVMe SSD, GTX 1650Ti 4GB, 14"" 4K UHD, Windows 10 Pro) Creative Professional Laptop",EXCaliberPC,14 Inches,Core i7,16 GB,Windows 10 Pro,,Summit E14 A11SCS,16GB RAM,nan,nan,nan,nan,NVIDIA GeForce GTX 1650 Ti Max-Q,1 TB,Dedicated,nan
"ASUS TUF Dash F15 FX516PR-211.TM15 (i7-11370H, 16GB RAM, 1TB NVMe SSD, RTX 3070 8GB, 15.6"" FHD 240Hz, Windows 10) Gaming Notebook - Eclipse Grey",EXCaliberPC,15.6 Inches,Core i7,8 GB,Windows 10,5.0,TUF Dash F15,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 3070 Max-Q,1 TB,Dedicated,nan
"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight AppleCare",Apple,nan,nan,8 GB,MacOS 10 12 Sierra,,nan,Midnight,1080p,nan,nan,nan,nan,nan,Integrated,nan
"(Open-Box) 2021 ASUS TUF Dash F15 FX516PM-211.TF15 (i7-11370H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 15.6"" FHD 144Hz, Windows 10) Gaming Notebook",EXCaliberPC,15.6 Inches,Core i7,8 GB,Windows 10,3.4,ASUS TUF Dash F15,nan,nan,nan,nan,nan,NVIDIA GeForce RTX 3060,512 GB,Dedicated,nan
"2017 Apple MacBook Pro with 2.3GHz Intel Core i5 (13-inch, 8GB RAM, 128 SSD Storage) - Space Gray (Renewed)",Apple,13.3 Inches,Core i5,8 GB,MacOS 10.14 Mojave,4.0,MacBook Pro,Space Grey,nan,nan,nan,nan,nan,128 GB,Integrated,nan
"2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (15-inch, 16GB RAM, 512GB Storage) Space Gray (Renewed)",Apple,15.4 Inches,Intel Core i7,16 GB,MacOS 10.15 Catalina,5.0,Macbook Pro,Space Gray,nan,nan,nan,nan,nan,512 GB,Integrated,nan
"Apple MacBook Pro 13.3"" with Retina Display, M1 Chip with 8-Core CPU and 8-Core GPU, 16GB Memory, 512GB SSD, Silver, Late 2020",Apple,13 Inches,nan,16 GB,nan,4.7,MacBook Pro,Silver,nan,6 Pounds,nan,nan,nan,512 GB,Integrated,nan
"Apple MacBook Pro 16"" with Liquid Retina XDR Display, M1 Pro Chip with 10-Core CPU and 16-Core GPU, 32GB Memory, 2TB SSD, Space Gray, Late 2021",Apple,16 Inches,nan,32 GB,Mac OS,2.5,MacBook Pro,nan,4K,8.45 Pounds,nan,nan,nan,nan,Dedicated,nan
"Apple 15in MacBook Pro, Retina, Touch Bar, 2.8GHz Intel Core i7 Quad Core, 16GB RAM, 256GB SSD, Silver, MPTU2LL/A (Renewed)",Apple,15 Inches,Core i7,16 GB,Mac OS,4.0,MacBook Pro,Silver,nan,nan,nan,nan,AMD Radeon Pro 560,256 GB,Dedicated,nan
"Late 2019 Apple MacBook Pro Touch Bar with 2.4GHz 9th Gen 8 Core Intel i9 (16GB RAM, 512GB SSD) Space Gray (Renewed)",Apple,15.4 Inches,Intel Core i9,16 GB,Mac OS,4.3,MacBook Pro,Gray,nan,nan,nan,nan,Intel UHD Graphics 630,512 GB,Integrated,nan
